Summary stop stats,,,,,,,,,,,,,,
Selected days,Selected days,01/04/2026 - 30/04/2026,,,,,,,,,,,,
Mean value,Mean value,Average,,,,,,,,,,,,
Columns,Columns,Some are hidden,,,,,,,,,,,,
,,,,,,,,,,,,,,
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Occupancy,Occupancy,Occupancy,Occupancy,Delay
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Arrival,Arrival,Departure,Departure,Delay
Ident.,Name,APC,All,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Ø
261,Jánosi utca,296,1530,870,2.9,318,1.1,1188,4.0,1864,6.3,2416,8.2,00:02:34
616,Zsibogó,487,2719,479,1.0,1452,3.0,1931,4.0,5957,12.2,4971,10.2,00:02:12
391,Mechwart András Szki.,1068,6598,1832,1.7,2338,2.2,4170,3.9,7755,7.3,7246,6.8,00:01:03
227,Határ úti Ipari Park,156,640,22,0.1,585,3.8,607,3.9,1688,10.8,1125,7.2,00:02:01
831,Sensirion Hungary Kft.,51,340,127,2.5,70,1.4,197,3.9,373,7.3,429,8.4,00:01:32
310,Kinizsi Nyomda,509,2295,997,2.0,964,1.9,1961,3.9,967,4.0,997,3.7,00:02:13
346,Kölcsey Központ (Hunyadi János utca),1076,4670,2297,2.1,1835,1.7,4132,3.8,14018,13.0,14454,13.4,00:02:00
094,Brassai Sámuel Szki.,539,2408,1228,2.3,821,1.5,2049,3.8,5769,10.7,6166,11.4,00:01:46
068,Benedek Elek tér,133,340,420,3.2,85,0.6,505,3.8,775,5.8,1138,8.6,00:00:48
106,Csapó utca,933,4705,2726,2.9,786,0.8,3512,3.8,11043,11.8,12955,13.9,00:02:16
243,Holló László sétány,1517,7784,4418,2.9,1272,0.8,5690,3.8,6346,4.2,9489,6.3,00:02:07
093,Brassai Sámuel Szki.,932,5498,1683,1.8,1787,1.9,3470,3.7,9857,10.6,9745,10.5,00:01:56
429,Nagymacs. Kastélykert utca,90,485,78,0.9,252,2.8,330,3.7,337,3.7,163,1.8,00:01:49
176,Felsőjózsai utca,264,1600,218,0.8,745,2.8,963,3.6,1042,4.9,495,2.4,00:02:52
032,Attila tér,377,1595,999,2.6,366,1.0,1365,3.6,4748,12.6,5376,14.3,00:02:36
029,Árpád Vezér Általános Iskola,1139,5492,1509,1.3,2582,2.3,4091,3.6,11021,9.7,9946,8.7,00:02:58
